Subject	List/Order	MeanRT	Congruence	ImpPerf	ObjInstr				
8	A3	478	Incongruent	Perfect	Instrument				
9	B1	637	Incongruent	Perfect	Instrument				
10	B3	283	Incongruent	Perfect	Instrument				
11	B3	234	Incongruent	Perfect	Instrument				
12	B2	400	Incongruent	Perfect	Instrument				
13	B1	435	Incongruent	Perfect	Instrument				
14	A3	544	Incongruent	Perfect	Instrument				
15	A2	457	Incongruent	Perfect	Instrument				
16	A1	331	Incongruent	Perfect	Instrument				
17	A1	543	Incongruent	Perfect	Instrument				
18	A2	367	Incongruent	Perfect	Instrument				
19	A3	549	Incongruent	Perfect	Instrument				
20	B2	387	Incongruent	Perfect	Instrument				
21	B3	328	Incongruent	Perfect	Instrument				
22	A3	296	Incongruent	Perfect	Instrument				
